ID_REF,GSM4075768,GSM4075770,GSM4075772,GSM4075774,GSM4075776,GSM4075777,GSM4075780,GSM4075782,GSM4075784,GSM4075786,GSM4075788,GSM4075790,GSM4075792,GSM4075794,GSM4075796,GSM4075798,GSM4075801,GSM4075803,GSM4075804,GSM4075805,GSM4075807,GSM4075809,GSM4075811,GSM4075813,GSM4075814,GSM4075815,GSM4075816,GSM4075817,GSM4075818,GSM4075819,GSM4075820,GSM4075821,GSM4075822,GSM4075823,GSM4075824
ILMN_1745570,4.327948498,5.018211155,5.064833675,5.085355708,5.036306948,5.001017369,4.32453089,4.272962282,4.31303756,4.359804243,4.23329092,4.265098434,4.260556658,4.343822816,4.44869488,4.365634081,4.32282184,4.635754106,4.477518747,4.282785029,4.425486266,4.292037323,4.220098331,4.206575476,4.164511386,4.237436005,4.242264845,4.171300266,4.186427353,4.247708217,4.133977734,4.214949814,4.258118834,4.151951357,4.188982921
ILMN_1745573,8.239501608,8.35621413,8.043350712,7.509432107,6.900351671,8.011366253,8.276015479,7.829196551,7.926401263,8.243835899,7.884799556,8.022146021,8.015971127,5.641871708,8.262815293,8.384654773,8.721333838,8.612468211,8.645297887,8.764089064,8.596239755,5.650928091,6.752778133,7.395100459,7.025510649,6.893040552,6.607167641,7.050635829,6.61413302,6.471294006,6.437327969,6.454773915,6.294368002,6.605219646,6.50008191
ILMN_1745580,4.306887052,5.127330008,5.063594905,5.067723024,4.983608379,5.039114521,5.296075892,4.39384227,4.293929832,4.45814541,4.33863912,4.302808021,4.473925925,4.942390129,4.261490638,4.290292962,4.397184702,4.557884323,4.473484814,4.315366034,4.463388549,4.26043133,4.236035711,4.501579714,4.144318415,4.130081933,4.2599264,4.11160064,4.167320495,4.13735045,4.180513896,4.14202351,4.226145136,4.17328792,4.198204912
ILMN_1745583,4.644229103,5.597170205,5.178215839,5.568844496,5.097024483,5.193133466,4.679780048,4.236419778,4.65082809,4.605617854,4.461688219,4.934033288,4.330586501,4.308459263,4.302808021,4.580438025,5.838059546,4.381618889,4.556143553,4.536921357,7.568508133,4.175975023,4.74833036,4.214077042,4.356915394,4.417892378,4.175121543,4.213830439,4.255334802,4.22441362,4.302366531,4.317615332,4.317898808,4.251043403,4.227427244
ILMN_1745593,5.307809638,5.096365578,5.048603537,5.105551431,4.975523668,5.151830242,4.435613148,4.79394971,4.304751663,4.403931268,4.397163366,4.293727317,4.225947827,4.330316447,4.364520478,5.04199816,4.386633561,4.360941307,6.124637328,4.463238833,4.339310385,4.267933133,4.37495156,4.279227765,4.396389638,4.254706102,4.406220257,4.276621969,4.227668719,4.216264106,4.21691578,4.279966792,4.170586813,4.189391499,4.26380823
ILMN_1745599,6.8901531,6.597166278,7.38035168,7.212482375,7.606423124,6.176807003,6.760774794,6.601897917,7.198091784,5.669858272,7.028634545,6.930216438,6.872453589,4.487853032,6.685374705,7.230792548,7.733101799,4.693040991,5.325288636,5.426126646,5.841986194,6.667829884,5.639611367,7.887801347,6.813111831,6.736679129,6.039169659,6.768088153,6.550790679,6.650805513,6.684316721,6.112760565,6.393675658,6.344064519,6.790496929
ILMN_1745607,4.231639352,4.987010146,5.044522397,5.006409841,4.995491216,5.088611116,4.208973386,4.257119521,4.203303981,4.206212967,4.23709873,4.261696065,4.218888162,4.327257044,4.335733974,4.243868649,4.344746384,4.37946843,4.341658728,4.29669116,4.398911682,4.232729885,4.387673191,4.199370725,4.225319905,4.208917373,4.284245785,4.174436759,4.296725392,4.143352537,4.189430159,4.166989127,4.165571138,4.199739699,4.142741335
ILMN_1745617,4.541206262,5.309965166,5.217748296,5.154071329,5.334421783,5.125233801,5.159504599,4.441304873,4.413397804,4.614001359,4.302659958,4.867813686,4.421233683,4.35091846,4.391319921,4.388539079,4.407390859,4.558692782,4.365955918,4.535937405,4.454417456,4.183946512,4.308606909,4.443728856,4.593826415,4.26796439,4.265797138,4.19118143,4.121619865,4.23932776,4.180205163,4.218423969,4.145525724,4.300521376,4.189227768
ILMN_1745620,7.381578854,8.677000411,8.541237401,7.454606726,8.419892084,8.013297964,7.641524319,7.683063923,7.626379497,8.276015479,7.732306367,7.731808069,7.518889788,5.484176968,7.686304486,7.671051502,9.09945881,7.305572539,7.676035288,7.384553695,8.223169623,7.465963465,7.208422276,8.620066909,6.756784802,6.041066534,6.422774454,6.185720892,5.963442967,5.622753256,6.168914955,6.116310699,6.881376163,6.022007914,6.096489607
ILMN_1745623,4.909604997,5.781884598,5.434439106,5.553148387,5.343243372,5.886926357,4.355197822,4.831006694,5.332754346,5.0508599,4.763947221,5.627001862,5.694963668,5.375602434,5.31954168,5.043293041,6.234204981,6.159003917,5.581413735,5.500778454,6.147060772,4.495500804,4.935257369,4.417666116,4.310060882,4.163496526,4.429739342,4.33547599,4.500804276,4.913810354,4.240074903,4.27542654,4.684455512,4.446348925,4.434781916
ILMN_1745651,4.252037104,5.280297178,5.025699983,5.152031252,5.163227253,4.989126573,4.284981187,4.282266961,4.266877849,4.305870081,4.203246091,4.25059749,4.419171329,4.323044863,4.279893547,4.245441898,4.582982599,4.425858942,4.248174259,4.362033761,4.379447793,4.24870731,4.29188204,4.24973435,4.167341293,4.185591235,4.271687478,4.197719666,4.175097027,4.105397837,4.217577055,4.249341402,4.134055253,4.241597733,4.158040777
ILMN_1745655,8.459693287,7.704912947,7.742794299,7.855628872,7.983120508,7.883602833,7.371287538,7.925121923,8.094956569,7.478063106,7.713886023,7.687877881,7.115443046,6.807477306,7.197516657,7.412065798,8.970566402,8.686555516,8.679783979,8.626854587,8.860849073,7.489109385,7.298641957,6.836716587,6.267122181,6.270152736,6.725215374,6.454427284,6.785784827,6.407329011,6.877502527,6.879945063,6.558541879,6.832184573,6.558951461
ILMN_1745668,4.237300151,5.486049136,4.974084364,5.165838058,5.018322393,5.029288135,4.356101192,4.308175919,4.219085415,4.498700746,4.38480909,4.182483856,4.535034047,4.295854627,4.39215583,4.204453019,4.280986546,4.284086155,4.388851889,4.319558575,4.409179682,4.443050425,4.320461084,4.28027466,4.222319626,4.178213644,4.289439402,4.147267407,4.143257213,4.215518767,4.153253911,4.155588166,4.159558008,4.180725845,4.141865472
ILMN_1745669,5.208572665,5.923294988,5.605984189,5.71133577,5.547176109,5.653510054,5.64467181,5.842532284,5.569586603,5.02181396,5.364284429,5.578692392,5.646073237,6.340926852,5.137314698,4.863911917,5.081920287,4.874957141,5.15221921,5.46046589,5.265520502,6.128070987,4.819728092,4.664145724,4.327545975,5.112684632,4.468750791,4.427275055,4.969106936,4.598975106,5.075457155,4.944384687,4.570354169,5.235206827,5.15170854
ILMN_1745686,4.277594889,5.482923552,5.477155466,5.327209952,8.429795462,5.248122003,5.135006198,6.110145572,5.147817208,4.653122596,4.570190937,4.345434056,4.340727281,4.31938121,4.48984961,4.784099332,4.345304814,5.154700756,4.862678158,5.56794599,4.30628582,4.648306118,4.805457208,4.708677352,4.672765138,4.53814547,4.529991847,4.915627908,5.36425391,4.456388785,5.070830601,4.94338809,4.797892773,5.045136254,5.187598793
ILMN_1745688,4.839225551,5.480415475,5.184807223,5.197906184,5.034870817,6.175302615,5.012149479,5.036460702,4.799602354,4.685383539,4.428850931,4.832437297,4.47164136,6.57182284,4.446833428,4.443622636,6.706922411,4.294606302,4.597336676,4.951611782,4.696523463,4.274024557,4.66727105,4.519780924,4.23990464,4.227959198,4.165529897,4.303676787,4.203306018,4.299583479,4.380062361,4.337400067,4.242848565,4.327858372,4.248239997
ILMN_1745695,4.75979552,5.210266054,5.297454965,5.140425999,5.188176386,5.054866853,4.464329835,4.40654051,4.450389841,4.460259775,4.534029646,4.466455567,4.446323381,5.154484672,4.611319326,4.342095595,4.561838035,4.324648757,4.873733856,4.515201199,4.737236976,4.518092774,4.344053687,4.516330576,4.169041453,4.200808319,4.702206499,4.465216929,4.381703987,4.423527588,4.249842868,4.279425419,4.269670802,4.381843086,4.272913618
